380	223	3
394	202	3
419	198	3
447	215	3
426	226	3
669	214	1
576	302	2
575	285	2
548	310	2
570	317	2
593	301	2
584	267	2
558	273	2
546	282	2
589	312	2
588	291	2
603	290	2
678	196	1
712	190	1
734	248	1
703	247	1
677	252	1
685	224	1
718	216	1
706	229	1
405	219	3
446	233	3
663	226	1
512	204	3
469	186	3
493	156	3
497	201	3
566	276	2
594	281	2
559	291	2
465	238	3
473	222	3
653	234	1
637	212	1
492	236	3
482	199	3
468	166	3
446	171	3
445	186	3
464	205	3
431	254	3
690	179	1
698	205	1
649	180	1
658	195	1
656	210	1
506	217	3
510	184	3
490	179	3
675	243	1
693	261	1
713	263	1
727	235	1
693	240	1
