==output1.txt,k=2==
380	223	2
394	202	2
419	198	2
447	215	2
426	226	2
669	214	1
690	179	1
698	205	1
678	196	1
712	190	1
734	248	1
703	247	1
677	252	1
685	224	1
718	216	1
706	229	1
405	219	2
446	233	2
492	236	2
482	199	2
468	166	2
446	171	2
445	186	2
464	205	2
431	254	2
465	238	2
473	222	2
653	234	1
637	212	1
649	180	1
658	195	1
656	210	1
506	217	2
510	184	2
490	179	2
675	243	1
693	261	1
713	263	1
727	235	1
693	240	1
663	226	1
512	204	2
469	186	2
493	156	2
497	201	2

==output2.txt,k=2==
380	223	2
394	202	2
419	198	2
447	215	2
426	226	2
669	214	1
690	179	1
698	205	1
678	196	1
712	190	1
734	248	1
703	247	1
677	252	1
685	224	1
718	216	1
706	229	1
405	219	2
446	233	2
492	236	2
482	199	2
468	166	2
446	171	2
445	186	2
464	205	2
431	254	2
465	238	2
473	222	2
653	234	1
637	212	1
649	180	1
658	195	1
656	210	1
506	217	2
510	184	2
490	179	2
675	243	1
693	261	1
713	263	1
727	235	1
693	240	1
663	226	1
512	204	2
469	186	2
493	156	2
497	201	2
603	214	1
617	191	1
617	191	1
598	192	1
598	170	1
612	156	1
632	169	1
630	202	1
531	214	2
537	196	2
530	170	2
517	161	2
552	179	2
553	206	2
527	234	2
502	250	2
508	230	2
487	215	2
487	215	2
469	256	2
494	200	2
526	187	2
545	194	2
614	206	1
619	229	1
639	236	1
649	246	1
650	161	1
670	165	1
500	171	2
431	207	2
428	182	2
613	179	1
640	194	1
666	183	1
694	219	1
536	154	2
517	150	2
481	165	2

==output3.txt,k=3==
380	223	2
394	202	2
419	198	2
447	215	2
426	226	2
669	214	1
576	302	3
575	285	3
548	310	3
570	317	3
593	301	3
584	267	3
558	273	3
546	282	3
589	312	3
588	291	3
603	290	3
678	196	1
712	190	1
734	248	1
703	247	1
677	252	1
685	224	1
718	216	1
706	229	1
405	219	2
446	233	2
663	226	1
512	204	2
469	186	2
493	156	2
497	201	2
566	276	3
594	281	3
559	291	3
465	238	2
473	222	2
653	234	1
637	212	1
492	236	2
482	199	2
468	166	2
446	171	2
445	186	2
464	205	2
431	254	2
690	179	1
698	205	1
649	180	1
658	195	1
656	210	1
506	217	2
510	184	2
490	179	2
675	243	1
693	261	1
713	263	1
727	235	1
693	240	1

==output4.txt,k=4==
380	223	2
394	202	2
419	198	2
447	215	2
469	186	2
493	156	2
497	201	2
566	276	4
617	132	3
610	115	3
587	116	3
586	132	3
592	151	3
571	112	3
426	226	2
669	214	1
576	302	4
575	285	4
548	310	4
570	317	4
593	301	4
584	267	4
558	273	4
546	282	4
589	312	4
588	291	4
603	290	4
678	196	1
712	190	1
734	248	1
703	247	1
677	252	1
685	224	1
718	216	1
706	229	1
405	219	2
446	233	2
663	226	1
512	204	2
578	97	3
595	102	3
607	136	3
594	281	4
559	291	4
465	238	2
473	222	2
653	234	1
637	212	1
492	236	2
482	199	2
468	166	2
446	171	2
445	186	2
464	205	2
431	254	2
690	179	1
570	132	3
582	152	3
592	120	3
599	138	3
607	155	3
698	205	1
649	180	1
658	195	1
656	210	1
506	217	2
510	184	2
490	179	2
675	243	1
693	261	1
713	263	1
727	235	1
693	240	1
